 (7.650786042213439941e-01+0.000000000000000000e+00j)  (2.522705365938886050e-03+6.327918265881730779e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.217866631084540269e-03+6.818260858249840695e-05j)
 (7.594377994537353516e-01+0.000000000000000000e+00j)  (2.487611352230379661e-03+6.265802799039286563e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.203649287355833351e-03+8.038467790432743496e-05j)
 (7.544263005256652832e-01+0.000000000000000000e+00j)  (2.453372494438835032e-03+6.195915374183265942e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.189813676956448215e-03+9.368681494828032404e-05j)
 (7.499927878379821777e-01+0.000000000000000000e+00j)  (2.419988165302320530e-03+6.118715258887058974e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.171882000201847828e-03+1.055849774620963816e-04j)
 (7.460860610008239746e-01+0.000000000000000000e+00j)  (2.387521715454654376e-03+6.035063363104142689e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.156588943140016233e-03+1.178032241599510959e-04j)
 (7.426587939262390137e-01+0.000000000000000000e+00j)  (2.355977440344225477e-03+5.945418682204651117e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.142049869523244872e-03+1.269076984401870840e-04j)
 (7.396653294563293457e-01+0.000000000000000000e+00j)  (2.325355073298806131e-03+5.850572039713486470e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.125213830190040969e-03+1.362688707991405765e-04j)
 (7.370635271072387695e-01+0.000000000000000000e+00j)  (2.295660493991990691e-03+5.751373482109320727e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.107165515461243149e-03+1.474541801746977676e-04j)
 (7.348126769065856934e-01+0.000000000000000000e+00j)  (2.266923936079347397e-03+5.648140404120428155e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.090402470986168550e-03+1.554432128515770577e-04j)
 (7.328737378120422363e-01+0.000000000000000000e+00j)  (2.239139138756698205e-03+5.541653928902299164e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.074444111211723344e-03+1.620641509323022048e-04j)
 (7.312118411064147949e-01+0.000000000000000000e+00j)  (2.212270351081960500e-03+5.432461192417390372e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.055020648974848950e-03+1.691166279838415755e-04j)
 (7.297929525375366211e-01+0.000000000000000000e+00j)  (2.186350335283563165e-03+5.321182638137069267e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.038819162256821981e-03+1.752897446493626474e-04j)
 (7.285855412483215332e-01+0.000000000000000000e+00j)  (2.161357975228181665e-03+5.208303147561132215e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.023912050543432590e-03+1.795408796696376750e-04j)
 (7.275593876838684082e-01+0.000000000000000000e+00j)  (2.137248120478883393e-03+5.094164324176571855e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.004799752666784380e-03+1.813994717543462290e-04j)
 (7.266882061958312988e-01+0.000000000000000000e+00j)  (2.114029659669257929e-03+4.979621354293419086e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (9.876213556839761373e-04+1.862469345256445780e-04j)
 (7.259461283683776855e-01+0.000000000000000000e+00j)  (2.091686126881711020e-03+4.864957833506723434e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (9.717828916048884720e-04+1.916461688604439799e-04j)
 (7.253088951110839844e-01+0.000000000000000000e+00j)  (2.070173038623652692e-03+4.750335314645765883e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (9.544637054080160835e-04+1.930313244445780853e-04j)
 (7.247556447982788086e-01+0.000000000000000000e+00j)  (2.049480903272258431e-03+4.636192767157756400e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (9.364086808143352566e-04+1.937328481630596505e-04j)
